Method,Dim,Mode,TrainTask,STS_spearman,NLI_accuracy,CLS_accuracy
—,768,baseline,—,0.8275,0.7671,0.8865
linear,32,task_agnostic,agnostic,0.7583,0.6936,0.8991
linear,64,task_agnostic,agnostic,0.7989,0.7179,0.8899
linear,128,task_agnostic,agnostic,0.7928,0.7195,0.8945
linear,256,task_agnostic,agnostic,0.8178,0.7293,0.8865
autoencoder,32,task_agnostic,agnostic,0.7949,0.6956,0.8853
autoencoder,64,task_agnostic,agnostic,0.8335,0.7317,0.8842
autoencoder,128,task_agnostic,agnostic,0.8238,0.7473,0.8933
autoencoder,256,task_agnostic,agnostic,0.8366,0.7495,0.8819
distillation,32,task_agnostic,agnostic,0.7701,0.6974,0.8842
distillation,64,task_agnostic,agnostic,0.8247,0.7259,0.8842
distillation,128,task_agnostic,agnostic,0.8273,0.745,0.883
distillation,256,task_agnostic,agnostic,0.831,0.7553,0.8922
linear,32,task_aware,sts,0.8006,0.635,0.8234
linear,64,task_aware,sts,0.8226,0.6854,0.8452
linear,128,task_aware,sts,0.835,0.7193,0.8761
linear,256,task_aware,sts,0.8245,0.7463,0.8842
linear,32,task_aware,nli,0.7967,0.7588,0.8486
linear,64,task_aware,nli,0.8163,0.7595,0.8463
linear,128,task_aware,nli,0.8224,0.7608,0.8761
linear,256,task_aware,nli,0.8221,0.7601,0.8842
linear,32,task_aware,classification,0.7798,0.6491,0.8922
linear,64,task_aware,classification,0.8014,0.6856,0.8888
linear,128,task_aware,classification,0.8305,0.7262,0.8876
linear,256,task_aware,classification,0.8351,0.73,0.8933
autoencoder,32,task_aware,sts,0.7637,0.6131,0.7718
autoencoder,64,task_aware,sts,0.8164,0.6393,0.82
autoencoder,128,task_aware,sts,0.8275,0.6662,0.8475
autoencoder,256,task_aware,sts,0.8351,0.6786,0.8681
autoencoder,32,task_aware,nli,0.7509,0.7511,0.8085
autoencoder,64,task_aware,nli,0.8064,0.7704,0.8498
autoencoder,128,task_aware,nli,0.8072,0.772,0.8658
autoencoder,256,task_aware,nli,0.8004,0.7755,0.8865
autoencoder,32,task_aware,classification,0.7066,0.5703,0.8911
autoencoder,64,task_aware,classification,0.7858,0.6459,0.8761
autoencoder,128,task_aware,classification,0.7883,0.6747,0.8842
autoencoder,256,task_aware,classification,0.7955,0.6911,0.8876
distillation,32,task_aware,sts,0.7791,0.5933,0.7901
distillation,64,task_aware,sts,0.7894,0.6207,0.8154
distillation,128,task_aware,sts,0.8048,0.6521,0.8291
distillation,256,task_aware,sts,0.8137,0.6371,0.8463
distillation,32,task_aware,nli,0.7544,0.7556,0.8222
distillation,64,task_aware,nli,0.7812,0.7624,0.8211
distillation,128,task_aware,nli,0.7929,0.762,0.8784
distillation,256,task_aware,nli,0.7771,0.7628,0.8567
distillation,32,task_aware,classification,0.7106,0.5724,0.8773
distillation,64,task_aware,classification,0.7555,0.61,0.8853
distillation,128,task_aware,classification,0.7769,0.6232,0.8842
distillation,256,task_aware,classification,0.7756,0.6307,0.8876
